word,count
설치,3614
유해화학물질,3543
시설,3102
기준,3021
경우,2888
취급시설,2492
문의,2428
화학물질관리법,2380
사용,2298
관련,2280
설비,2234
질의,2163
관리,1794
검사,1731
해당,1727
이상,1695
저장,1684
물질,1441
별표,1435
취급,1431
대한,1337
답변,1337
사업,1218
보관,1213
화학물질,1186
사항,1171
제조,1148
내용,1140
안전,1102
고시,1056
배관,1033
적용,1018
시행,1001
규칙,987
실내,987
대해,978
확인,938
탱크,938
저장탱크,930
여부,880
안녕하십니까,852
실외,848
방류벽,837
건축물,821
당사,815
현재,814
용량,773
화학물질안전원,765
구조,753
대상,745
규정,742
세부,738
아래,728
방법,714
다음,713
다만,697
업무,666
기존,655
첨부,645
소량,625
노고,623
이전,617
상태,613
추가,612
질문,608
위해,599
감지기,598
발생,594
저희,593
장치,591
가스,582
방지,580
위험,572
대하,572
또한,570
장소,563
정기,562
하나,556
내부,544
인정,542
조치,542
액체,540
부분,539
미만,535
다른,530
판단,523
외부,520
허가,516
펌프,505
바닥,497
수산화나트륨,496
상황,494
별도,493
인화,491
사고,491
진행,489
가지,488
항목,484
밸브,477
수고,470
운영,469
예방,461
검토,460
처리,448
상기,440
이하,438
로서,436
공정,431
감지,430
이송,424
공장,424
위치,416
포함,408
트렌치,404
경보,403
설계,400
확보,400
예정,398
우려,396
높이,395
배출,393
기관,383
결과,381
압력,380
실시,378
용기,373
자료,372
재질,371
연결,370
감사,368
공간,367
문제,366
만약,364
모두,362
구분,353
명시,350
업체,348
산업,346
재료,337
변경,337
유출,336
신규,335
작업,335
계획,335
환경부,328
유해,326
산화,324
유지,323
통해,322
환경,321
제외,320
민원,320
제출,319
차단,317
자체,314
때문,313
독성,310
제품,310
문의사항,304
지침,303
법령,303
피해,302
황산,301
폭발,297
조항,291
최대,288
개정,288
참고,285
요청,284
장외영향평가,280
성능,279
착공,279
법규,276
전체,274
창고,273
거리,270
이용,269
항상,268
건물,268
여기,267
누액,267
영업,265
참조,262
폐수처리,262
부식,262
정도,257
가능,257
작성,256
의거,256
집수조,255
일부,254
내화,254
이격거리,253
환기,252
방지턱,251
해석,250
검지,250
방식,248
각각,248
공사,247
법적,244
표준,243
조건,243
첨부파일,243
투입,243
자연,242
고려,239
인지,239
